Model,Symbol,Horizon,BestValLoss,FinalTrainLoss,FinalValLoss,FinalValClean,FinalPredMean,FinalPredPos%,FinalPredNeg%,TestMAE,TestRMSE,TestDA%,TestSharpe,Epoch_000_TrainLoss,Epoch_000_ValLoss,Epoch_000_ValClean,Epoch_000_PredMean,Epoch_000_PredPos%,Epoch_000_PredNeg%,Epoch_001_TrainLoss,Epoch_001_ValLoss,Epoch_001_ValClean,Epoch_001_PredMean,Epoch_001_PredPos%,Epoch_001_PredNeg%,Epoch_002_TrainLoss,Epoch_002_ValLoss,Epoch_002_ValClean,Epoch_002_PredMean,Epoch_002_PredPos%,Epoch_002_PredNeg%,Epoch_003_TrainLoss,Epoch_003_ValLoss,Epoch_003_ValClean,Epoch_003_PredMean,Epoch_003_PredPos%,Epoch_003_PredNeg%,Epoch_004_TrainLoss,Epoch_004_ValLoss,Epoch_004_ValClean,Epoch_004_PredMean,Epoch_004_PredPos%,Epoch_004_PredNeg%,Epoch_005_TrainLoss,Epoch_005_ValLoss,Epoch_005_ValClean,Epoch_005_PredMean,Epoch_005_PredPos%,Epoch_005_PredNeg%,Epoch_006_TrainLoss,Epoch_006_ValLoss,Epoch_006_ValClean,Epoch_006_PredMean,Epoch_006_PredPos%,Epoch_006_PredNeg%,Epoch_007_TrainLoss,Epoch_007_ValLoss,Epoch_007_ValClean,Epoch_007_PredMean,Epoch_007_PredPos%,Epoch_007_PredNeg%,Epoch_008_TrainLoss,Epoch_008_ValLoss,Epoch_008_ValClean,Epoch_008_PredMean,Epoch_008_PredPos%,Epoch_008_PredNeg%,Epoch_009_TrainLoss,Epoch_009_ValLoss,Epoch_009_ValClean,Epoch_009_PredMean,Epoch_009_PredPos%,Epoch_009_PredNeg%,Epoch_010_TrainLoss,Epoch_010_ValLoss,Epoch_010_ValClean,Epoch_010_PredMean,Epoch_010_PredPos%,Epoch_010_PredNeg%,Epoch_011_TrainLoss,Epoch_011_ValLoss,Epoch_011_ValClean,Epoch_011_PredMean,Epoch_011_PredPos%,Epoch_011_PredNeg%,Epoch_012_TrainLoss,Epoch_012_ValLoss,Epoch_012_ValClean,Epoch_012_PredMean,Epoch_012_PredPos%,Epoch_012_PredNeg%,Epoch_013_TrainLoss,Epoch_013_ValLoss,Epoch_013_ValClean,Epoch_013_PredMean,Epoch_013_PredPos%,Epoch_013_PredNeg%,Epoch_014_TrainLoss,Epoch_014_ValLoss,Epoch_014_ValClean,Epoch_014_PredMean,Epoch_014_PredPos%,Epoch_014_PredNeg%,Epoch_015_TrainLoss,Epoch_015_ValLoss,Epoch_015_ValClean,Epoch_015_PredMean,Epoch_015_PredPos%,Epoch_015_PredNeg%,Epoch_016_TrainLoss,Epoch_016_ValLoss,Epoch_016_ValClean,Epoch_016_PredMean,Epoch_016_PredPos%,Epoch_016_PredNeg%,Epoch_017_TrainLoss,Epoch_017_ValLoss,Epoch_017_ValClean,Epoch_017_PredMean,Epoch_017_PredPos%,Epoch_017_PredNeg%,Epoch_018_TrainLoss,Epoch_018_ValLoss,Epoch_018_ValClean,Epoch_018_PredMean,Epoch_018_PredPos%,Epoch_018_PredNeg%
LSTM Hybrid,BID,5,,,,,,,,0.030673207084501185,0.04839362620785851,54.88721804511278,1.3638943466622462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,TCB,5,,,,,,,,0.036743098680817154,0.048059069553649754,45.149253731343286,0.28828978541778233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,MBB,5,,,,,,,,0.031747117548276936,0.04411238246621244,46.95340501792115,1.4261601417164995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,VPB,5,0.14678603410720825,0.11908654057804276,0.2548331320285797,0.2548331320285797,0.22350043058395386,62.096774193548384,37.903225806451616,0.037542384800287994,0.05181423171256284,54.804270462633454,1.6659273379313633,0.31651510605040717,0.09641425311565399,0.14678603410720825,0.03692080080509186,62.096774193548384,37.903225806451616,0.28959741881665063,0.12215091288089752,0.19833999872207642,0.21515882015228271,79.03225806451613,20.967741935483872,0.27665502227404537,0.12128744274377823,0.1924654245376587,0.24168702960014343,80.64516129032258,19.35483870967742,0.25266406027709737,0.12810099124908447,0.2068064659833908,0.1746862232685089,62.096774193548384,37.903225806451616,0.23160698177183375,0.1250314861536026,0.19451554119586945,0.19058673083782196,62.903225806451616,37.096774193548384,0.22496332578799305,0.19320788979530334,0.2546730637550354,0.31635087728500366,74.19354838709677,25.806451612903224,0.2173625206684365,0.24010780453681946,0.27315211296081543,0.32823446393013,79.03225806451613,20.967741935483872,0.19490412863738396,0.23629546165466309,0.23629546165466309,0.23123134672641754,62.096774193548384,37.903225806451616,0.17748349247609868,0.22900497913360596,0.22900497913360596,0.17354772984981537,56.451612903225815,43.54838709677419,0.16465110287946813,0.26530781388282776,0.26530781388282776,0.3030471205711365,66.93548387096774,33.064516129032256,0.16266235753017314,0.2472754567861557,0.2472754567861557,0.22180818021297455,62.096774193548384,37.903225806451616,0.15029093798469095,0.2628323435783386,0.2628323435783386,0.19898997247219086,62.903225806451616,37.096774193548384,0.1425490854855846,0.3087092638015747,0.3087092638015747,0.30697721242904663,69.35483870967742,30.64516129032258,0.12735307315254912,0.3022741973400116,0.3022741973400116,0.3520969748497009,70.16129032258065,29.838709677419356,0.1254142939167864,0.27896955609321594,0.27896955609321594,0.34640946984291077,73.38709677419355,26.61290322580645,0.11908654057804276,0.2548331320285797,0.2548331320285797,0.22350043058395386,62.096774193548384,37.903225806451616,,,,,,,,,,,,,,,,,,
Random Forest Baseline,VCB,5,,,,,,,,0.02832108721724207,0.04578123520018541,40.520446096654275,-0.37492468258260836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,CTG,5,,,,,,,,0.02873830879126753,0.040587836311890266,53.333333333333336,1.068720517440386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,ACB,5,,,,,,,,0.024707547423429257,0.03580136703514626,49.07063197026022,0.35116923145670914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,BID,5,,,,,,,,0.03128007028225818,0.04843347141687838,45.11278195488722,0.11186461132574024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,TCB,5,,,,,,,,0.03455980479974949,0.04558211314076692,52.98507462686567,1.1184006984651471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,MBB,5,,,,,,,,0.03060098844134429,0.045792322081589364,56.63082437275986,0.3187076479316678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random Forest Baseline,VPB,5,,,,,,,,0.03822529748419842,0.05308394942065645,51.60142348754449,1.2121537446997954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
