Model,Symbol,Horizon,BestValLoss,FinalTrainLoss,FinalValLoss,FinalValClean,FinalPredMean,FinalPredPos%,FinalPredNeg%,TestMAE,TestRMSE,TestDA%,TestSharpe
GPT4TS Baseline,TCB,1,,,,,,,,0.014491053165918,0.020331088652204593,48.188405797101446,0.9714469710830429
GPT4TS Baseline,MBB,1,,,,,,,,0.01327584832611167,0.019354283258496106,49.647887323943664,1.173193234954569
GPT4TS Baseline,VPB,1,,,,,,,,0.017067117552952826,0.024503440589642392,45.48736462093863,0.4510396949585769
GPT4TS Hybrid,VCB,1,,,,,,,,0.011137392975861313,0.017889642141600593,46.01449275362319,-0.1662503891153571
GPT4TS Hybrid,CTG,1,,,,,,,,0.01307105323996819,0.01898367793971384,40.14598540145985,-1.1073838607083133
GPT4TS Hybrid,ACB,1,,,,,,,,0.010412362310162755,0.016657133358252182,47.70992366412214,0.6112677665314015
GPT4TS Hybrid,BID,1,,,,,,,,0.013477266072560964,0.020173074423960578,45.593869731800766,0.3711510241501035
GPT4TS Hybrid,TCB,1,,,,,,,,0.014524249430929689,0.02032100382577228,48.91304347826087,1.5273515537759317
GPT4TS Hybrid,MBB,1,,,,,,,,0.013224557065542862,0.019385658875442944,51.056338028169016,1.1967689920718756
GPT4TS Hybrid,VPB,1,,,,,,,,0.017050803871028822,0.02445545243873043,43.32129963898917,0.18536851846147537
