model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,encoder_lr_scale,sign_penalty_weight,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.1,0.33,80,80,12,10,0.4,0.001,0.03032483163456234,0.002251493442780349,0.047730017917022693,0.001650746213197386,49.56949569495695,1.9728185648641354,0.40631792715671344,0.37756429769422833,0.14243380476565784,0.09843678183103494,0.563547244549773,0.05103118153507114,0.4893176367996512,0.01740448538250362,0.47737931467946276,0.013762061434021916,55.0,0.0,51.29,0.0,-1.72,1.976587969203496,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.0,0.33,80,80,12,10,0.2,0.001,0.02883374215239741,7.716154049191566e-05,0.046522685848216803,2.8163887246196754e-05,49.44649446494466,0.9762919967028015,0.24503743924717444,0.3177465085322241,0.16324722465378036,0.09409264822305133,0.5300281711078653,0.01690869507328147,0.48490752852263647,0.009190476818061663,0.39414785224006343,0.09665725250303715,55.0,0.0,51.29,0.0,-1.8433333333333335,0.9732591295915664,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.0,0.33,80,80,12,10,0.3,0.001,0.029371869296465142,0.0012658775111216202,0.04682186771205463,0.0007170026424209174,50.86100861008611,3.545765142779723,0.8126923826255155,0.39269510750056685,0.1373943614510384,0.04849800098384952,0.5650978887378587,0.03688635135107576,0.5058498655620958,0.038712922542485755,0.5145473752247273,0.046295334643048344,55.0,0.0,51.29,0.0,-0.4266666666666666,3.5454524864018886,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.0,0.33,80,80,12,10,0.4,0.001,0.029562835185017466,0.001281527114251547,0.04689370832951419,0.0008912414357098442,49.0159901599016,1.9899987315330208,0.34307769024361096,0.3547995859193025,0.14568534369725789,0.04480562346672191,0.5314618984569724,0.013595642182842833,0.48621103117506,0.012019079766497945,0.4495660432286716,0.09473367766948199,55.0,0.0,51.29,0.0,-2.276666666666667,1.9907368819945375,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.05,0.33,80,80,12,10,0.2,0.001,0.02905646316248028,0.00013207778282765969,0.046745727651095935,9.349536256169123e-05,48.58548585485855,1.9380013845742599,0.19605402396290308,0.22268702904553547,0.14755657106858125,0.14212425476767535,0.5204975715192578,0.011541200563477077,0.4789940774653005,0.01200541983327777,0.38642562438817657,0.08148913016496206,55.0,0.0,51.29,0.0,-2.7066666666666666,1.9357771910355113,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.05,0.33,80,80,12,10,0.3,0.001,0.029749280866979703,0.001511241488603102,0.04730322477698809,0.0011615043553358632,48.76998769987699,2.040671589549456,0.22312977292294975,0.2690746761136246,0.14560359095699058,0.07532783376403938,0.5215641886877251,0.007238671297986154,0.4805700893830391,0.015731593106508894,0.4341482709080174,0.0827303555932682,55.0,0.0,51.29,0.0,-2.523333333333333,2.041208792194795,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.05,0.33,80,80,12,10,0.4,0.001,0.028980592999342664,0.0002495208827891692,0.046827950807709205,0.00033092600200154536,49.6309963099631,0.7380073800738005,0.16721800129841813,0.17339400884330503,0.16413910738544982,0.06295476543955733,0.55260811738018,0.0344262044401021,0.4878506285880387,0.008756015017298726,0.4150602552589115,0.09504403121327341,55.0,0.0,51.29,0.0,-1.6600000000000001,0.7399999999999999,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.1,0.33,80,80,12,10,0.2,0.001,0.029777564342085772,0.0012578539859741105,0.04748806099013189,0.0008396264686581744,49.015990159901605,2.0239216078603137,0.11014993313534809,0.08742018522662261,0.13933037743788615,0.06669071750530135,0.5230314121943076,0.009804541253882307,0.48551159072741806,0.014174832979032126,0.44503708310561113,0.09145033232974814,55.0,0.0,51.29,0.0,-2.2733333333333334,2.0217896362711265,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.1,0.33,80,80,12,10,0.3,0.001,0.02920542968751011,0.0009184814816398547,0.04664281406077305,0.0006032179364645028,50.18450184501845,2.412674691996686,0.6745711156898867,0.7081286093061161,0.19186824453702025,0.0815167137261808,0.566416336685637,0.07490919573368096,0.493246312041276,0.028494154833556908,0.4326680125291252,0.09734349140787048,55.0,0.0,51.29,0.0,-1.1066666666666667,2.4123087143509085,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.02,0.1,0.33,80,80,12,10,0.4,0.001,0.02990879989294253,0.0015563553249502687,0.047254785898725206,0.0009861261741937652,48.76998769987699,2.9597071132880575,0.33735400940203725,0.39021673478758795,0.14566830695988897,0.09665925691788087,0.5573676180168855,0.05824786491854996,0.4833996439212267,0.023982101732431274,0.4719878703152138,0.004474525220385353,55.0,0.0,51.29,0.0,-2.5199999999999996,2.962920856182291,False,3
