model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate,DA%_std,Sharpe_std,IC_std,RMSE_std,MAE_std,F1_std,DA_skill%_std,base_rate_DA%_std,ESS_std
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.012244215855995813,0.01908217743039131,53.78652355396542,0.8462554966188542,0.08057987496724874,0.4840764331210191,0.2878787878787879,0.36328744498080184,475.0,56.85999999999999,-3.073333333333333,False,0.8066636409343287,0.4440723038425292,0.021456041658006634,3.557651474369677e-05,1.928012336281166e-05,0.07110179194391379,0.8068663664655589,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,False,True,5,True,True,True,0.012256782501935959,0.019097036371628445,53.667262969588556,0.4051734335512755,0.07462536981899959,0.5181818181818182,0.2159090909090909,0.2636251839982113,475.0,56.85999999999999,-3.19,False,1.464284932356433,0.12280248029646441,0.0458770268229742,3.767853222997093e-05,4.3520001886602186e-05,0.08613036533637612,1.4635914730552373,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,False,5,True,True,True,0.012236200273036957,0.019077001760403316,53.30948121645796,0.339560804887379,0.07668315113862596,0.47770700636942676,0.2840909090909091,0.2768473428186327,475.0,56.85999999999999,-3.5533333333333332,False,2.0159977942011884,0.2826345059670597,0.031852811750374244,1.0681332125519427e-05,2.230462876094393e-05,0.06909610942155593,2.0169614109678284,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,True,3,True,True,True,0.012244215855995813,0.01908217743039131,53.78652355396542,0.8462554966188542,0.08057987496724874,0.4840764331210191,0.2878787878787879,0.36328744498080184,475.0,56.85999999999999,-3.073333333333333,False,0.8066636409343287,0.4440723038425292,0.021456041658006634,3.557651474369677e-05,1.928012336281166e-05,0.07110179194391379,0.8068663664655589,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,True,10,True,True,True,0.012244215855995813,0.01908217743039131,53.78652355396542,0.8462554966188542,0.08057987496724874,0.4840764331210191,0.2878787878787879,0.36328744498080184,475.0,56.85999999999999,-3.073333333333333,False,0.8066636409343287,0.4440723038425292,0.021456041658006634,3.557651474369677e-05,1.928012336281166e-05,0.07110179194391379,0.8068663664655589,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,False,False,5,True,True,True,0.012258836068212986,0.019085317229231197,53.78652355396542,0.7056364902577711,0.05714308758964352,0.49019607843137253,0.2840909090909091,0.3096090392767032,475.0,56.85999999999999,-3.0700000000000003,False,1.2691590133448272,0.46391535784122406,0.02085149631010621,5.695259315561762e-06,8.94175288043994e-06,0.12658243784631765,1.2671621837791722,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,False,True,5,False,True,True,0.012308812389771143,0.019104426105817158,51.341681574239715,0.776525961326001,0.06585372411200506,0.451505016722408,0.5113636363636364,0.5073047059670533,475.0,56.85999999999999,-5.5200000000000005,False,3.786406169680989,0.744614862547602,0.04822092317485653,5.237392150104464e-05,0.00012252293590248988,0.06428608385763537,3.783424374822365,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,True,5,False,True,True,0.01226786244660616,0.019084690138697624,52.53428741800835,1.0744728752084998,0.06698184415952822,0.4364820846905538,0.5075757575757576,0.5233793661102918,475.0,56.85999999999999,-4.326666666666667,False,1.6621776821426766,0.46509520562207546,0.03916641348521214,2.1809225506633878e-05,3.640508928544068e-05,0.05163735596896793,1.6613649007166769,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,True,5,True,False,True,0.012259817371765772,0.01909288577735424,52.23613595706619,0.6529780680898442,0.05898466597471418,0.41700404858299595,0.39015151515151514,0.370146279086786,475.0,56.85999999999999,-4.623333333333333,False,2.523566364877618,0.7977958435921463,0.036207271378582,2.566498075142553e-05,1.7527117537732826e-05,0.15343781515344038,2.5239717378238082,8.702335715267317e-15,0.0
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,False,0.012244215855995813,0.01908217743039131,53.78652355396542,0.8462554966188542,0.08057987496724874,0.4840764331210191,0.2878787878787879,0.36328744498080184,475.0,56.85999999999999,-3.073333333333333,False,0.8066636409343287,0.4440723038425292,0.021456041658006634,3.557651474369677e-05,1.928012336281166e-05,0.07110179194391379,0.8068663664655589,8.702335715267317e-15,0.0
