cell,group,seed,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,DA_ind%,Prec_ind,Rec_ind,F1_ind,ModalDisagreement,TemporalLag,CompositeScore,degenerate,DA%_gated,Sharpe_gated,IC_gated,gate_coverage,gate_tau,gate_conviction,train_time_sec
8p,2 — News side,1,0.03464964386283241,0.04854991409003766,44.747899159663866,0.02469084816064366,-0.009955004742625631,0.48594075543357085,0.43647017045454545,0.4522409274768754,422,53.78,-9.03,44.797315159095774,0.4859867533266581,0.4377632461878684,0.45251437608138295,0.43424198947871834,1.0,0.759381947998728,False,46.649484536082475,0.026152821689094958,-0.10837433830354541,0.20198675496688742,0.019272857811301947,True,76.51
8p,2 — News side,42,0.033942824274849924,0.04871485028085,43.59243697478992,-0.18225191245573527,-0.0648681075235728,0.4820494071429595,0.43004261363636365,0.4532343284133558,422,53.78,-10.19,43.69368431574918,0.48259578079112975,0.43148038085000995,0.4542212990577011,0.3834296724470135,1.0,0.7600394764914302,False,42.75,-0.4941796729530359,-0.10406797490385604,0.21239356669820245,0.017099780030548573,True,75.42
8p,2 — News side,123,0.03207626944389637,0.046149678660140234,50.89285714285714,0.6211738194811026,-0.03971920472073865,0.5158433970703343,0.4800159801136364,0.4146469411092052,422,53.78,-2.89,50.72633440073089,0.5168709333871498,0.4804248772723206,0.41489505321395737,0.20963855421686747,1.0,0.7200663654248863,False,49.88814317673378,-0.20762315856325647,-0.09019722213452551,0.23226111636707664,0.0118243214674294,True,64.67
9,2 — News side,1,0.03492703395812179,0.04857667022546095,48.476890756302524,0.4804264251071137,0.08572412409095184,0.5373578207026517,0.48056640625,0.5068997679998808,422,53.78,-5.3,48.635667459525465,0.5375895901710132,0.4827446305359662,0.5078971926956519,0.5589645254074784,0.4,0.7055384984690785,False,58.56573705179283,0.6717904846090809,0.2170574418959469,0.25733207190160834,0.02606369461864233,True,84.13
9,2 — News side,42,0.03522178277591004,0.04976175718735596,45.010504201680675,-0.11386637433685362,0.040064446505798254,0.5184065934065935,0.46663707386363634,0.4535133615160535,422,53.78,-8.77,45.181173476594715,0.5187843890092473,0.46714270146912285,0.45446835351449344,0.6925273679200381,1.0,0.7785545589127051,False,50.775193798449614,-0.01065543102924953,0.09681607006783782,0.4063386944181646,0.017475692089647055,True,77.19
9,2 — News side,123,0.033712594746042567,0.048134147378102884,47.0063025210084,0.08027353805529643,0.06358433668593055,0.5255690172322531,0.4777610085227273,0.4906329244941262,422,53.78,-6.77,46.86047041246884,0.5244634967368691,0.47586902251231056,0.48925642634055533,0.6354066985645933,0.4,0.707685677927315,False,55.27777777777778,0.16414825804710728,0.08879100299909173,0.3760643330179754,0.015627272427082062,True,73.57
10,3 — Gate sweep,1,0.033535024349425846,0.04784210798753878,43.27731092436975,-0.20661945463659986,0.04524340734198411,0.49222908239301677,0.45220170454545455,0.4227727243980608,422,53.78,-10.5,43.396641650604444,0.49262468256598907,0.45200037443724855,0.4233634235228191,0.7592149353757779,0.8,0.7559085118156156,False,54.01146131805158,0.23300001559940453,0.14811931014488647,0.3684957426679281,0.015567890601232648,True,58.09
10,3 — Gate sweep,42,0.035970618396721984,0.051244657786489164,49.68487394957983,0.5594407443366499,0.11143981035124423,0.5559674905366288,0.5036221590909091,0.521074537620541,422,53.78,-4.1,49.79481956766412,0.5562777338210231,0.504195668280425,0.5219526852866635,0.5836909871244635,1.0,0.7641508850264426,False,56.86274509803921,0.21333781686737652,0.06728759345248086,0.40397350993377484,0.021264216396957636,True,73.97
10,3 — Gate sweep,123,0.03503323511175461,0.04894206108436696,47.47899159663865,0.0752049935938531,0.05394473037866685,0.5232309665653161,0.4712890625,0.4958382028667627,422,53.78,-6.3,47.48315221180266,0.5240997669309412,0.47172999334389587,0.4963508257607467,0.5515267175572519,0.8,0.7409249126018446,False,56.2862669245648,0.5820042876636962,0.17784227494338953,0.2710501419110691,0.022607688792049885,True,74.57
11,3 — Gate sweep,1,0.0375425385182928,0.05095117206173809,44.905462184873954,0.08335224216126555,0.05363568713818372,0.5074090667728661,0.4650213068181818,0.45284580782206674,422,53.78,-8.87,44.92403190914932,0.507111250386672,0.4637798094987442,0.4533058910178692,0.7288782816229117,1.0,0.7965522458951123,False,50.24330900243309,0.2237117584611771,0.10676310865154015,0.43330179754020814,0.022175388876348734,True,64.2
11,3 — Gate sweep,42,0.03325447398101595,0.047792655878717824,43.38235294117647,-0.7471746611824488,-0.02949285707642104,0.4822492987377279,0.4392755681818182,0.45402097902097904,422,53.78,-10.4,43.54713765441382,0.4842876005506035,0.44056634308371256,0.4557829638979795,0.42979533555449784,1.0,0.7519447762231904,False,49.34210526315789,0.2941427865327106,0.11861263029534472,0.1608325449385052,0.01725430181249976,True,52.35
11,3 — Gate sweep,123,0.03588718327747132,0.04967944629296195,44.642857142857146,-0.007772211029318165,-0.0024178680573943984,0.49150796123860496,0.4368519176136364,0.4564826654211904,422,53.78,-9.14,44.38533144004119,0.4923908425602173,0.43496053539442225,0.4552539653126132,0.507177033492823,0.8,0.76016428030371,False,54.589371980676326,0.41054907610783375,0.10251011763176082,0.3216650898770104,0.02040000120177865,True,75.36
12,3 — Gate sweep,1,0.03329634739108938,0.04639796029372773,52.62605042016807,0.9580252260658764,0.13267117033038764,0.5785023493689907,0.5166637073863636,0.5395648270521799,422,53.78,-1.15,52.36478188408769,0.5766410514805773,0.5145583549329853,0.5368116519153714,0.5291586998087954,1.0,0.7118814075840542,False,59.16230366492147,0.9759754711768192,0.15707088074424527,0.3008514664143803,0.02042287401854992,True,75.71
12,3 — Gate sweep,42,0.03259405948167188,0.04679471728458452,44.48529411764706,-0.16920106104017374,-0.04953089653493154,0.48833172541743974,0.4362659801136364,0.4565444711728428,422,53.78,-9.29,44.59096398416105,0.4906552059642883,0.43817875542481677,0.4583455540142299,0.2883967260471834,1.0,0.7350820501609562,False,50.171821305841924,0.10038415825410893,0.15653561382042774,0.15279091769157993,0.016710386611521244,True,52.5
12,3 — Gate sweep,123,0.033015372110924035,0.046850648736827115,48.792016806722685,0.5437543450748012,0.08473890090371479,0.5360211357650755,0.47414772727272725,0.4879838235896875,422,53.78,-4.99,49.008587133587596,0.5376197451818374,0.47708578451963934,0.4899811067911795,0.410912602607436,0.8,0.7098986384481024,False,58.536585365853654,0.5060067805046576,-0.023727885714005487,0.2596972563859981,0.020152496173977852,True,63.88
