cell,group,seed_count,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,train_time_sec,train_time_sec_std,DA%_gated,DA%_gated_std,Sharpe_gated,Sharpe_gated_std,IC_gated,IC_gated_std,gate_coverage,gate_coverage_std,gate_tau,gate_tau_std,MAE_ci95,RMSE_ci95,DA%_ci95,Sharpe_ci95,IC_ci95,Prec_ci95,Rec_ci95,F1_ci95,ESS_ci95,base_rate_DA%_ci95,DA_skill%_ci95,train_time_sec_ci95,DA%_gated_ci95,Sharpe_gated_ci95,IC_gated_ci95,gate_coverage_ci95,gate_tau_ci95
8p,2 — News side,3,0.013329686076178298,0.0001038475728171542,0.019894441649135782,4.718915722860822e-05,46.69450243562978,1.4765220871759748,0.3134282561168904,0.3486335107250483,0.024015926142554832,0.005769595881588158,0.507886628768631,0.007726838324726892,0.4650051633661442,0.014233090487141027,0.4588556028908211,0.0038768865940747702,2142.0,0.0,50.47,0.0,-3.776666666666667,1.4800788267296219,78.86666666666666,2.9408558844889523,55.20517935888211,1.0244296414174154,0.6057637865973077,0.1068364029308929,0.11167194684642366,0.009248506459928002,0.2556800497976968,0.018334524700082646,0.0023755018094864986,0.000786077270141994,0.00011751459127651955,5.3399558352386314e-05,1.6708420320111352,0.3945159564806366,0.006528912361286547,0.008743740686060946,0.0161062581033363,0.004387110176665172,0.0,0.0,1.6748668617070568,3.32789171565288,1.1592512693068262,0.12089677094314859,0.010465670280713194,0.020747467831270856,0.0008895301700998397
9,2 — News side,3,0.013575440960460124,0.0003823229276418721,0.020238356227645294,0.0006369399156213341,47.82533054975644,1.9821536452988593,0.32361288329245524,0.2913695074768841,0.037149904635465324,0.014888144407595559,0.5111161620682668,0.003936508739550099,0.47569494767437853,0.01793748186122798,0.4237071864653578,0.07867485882165079,2142.0,0.0,50.47,0.0,-2.646666666666667,1.9803114233204167,70.96,10.764724799083348,54.62642399073854,2.3421182047013893,0.5400200798202678,0.250377144909518,0.0755702940270976,0.019681449463817263,0.28882664176781825,0.06734080589644438,0.002771953101425121,0.0005567057030717112,0.0004326391205751453,0.0007207653662135257,2.243018003749449,0.32971563660783837,0.016847521395660262,0.004454578985675266,0.020298171563081446,0.08902898380150634,0.0,0.0,2.240933333333334,12.181432850585901,2.6503562488782095,0.28332841154438276,0.02227165668611475,0.07620329552704666,0.0006299718075545906
10,3 — Gate sweep,3,0.013761747645480209,0.000784600158784241,0.020487468342666983,0.0010117844308069435,46.53792623521225,1.0559492627344136,0.5165356766975455,0.3317500892168891,0.018260673149901478,0.03722568766197038,0.5107858524050135,0.026084244547865634,0.4628066917806403,0.010608948868015593,0.42869436046655673,0.060955376381515075,2142.0,0.0,50.47,0.0,-3.9299999999999997,1.0577334257741882,70.76,16.833950813757294,52.438416169959794,5.0981182162196435,0.40351174495032405,0.2802237032582673,0.03906147390515367,0.1061460154134065,0.305166511048864,0.0684419409611587,0.002612944270367734,0.0014641879915143585,0.0008878586612453971,0.0011449418664369918,1.1949190785369892,0.37541056649358445,0.04212483115311876,0.029517101398183775,0.012005155790144847,0.06897750180634847,0.0,0.0,1.1969380490791215,19.049408626341478,5.7690638520100945,0.3171029717985699,0.12011552392177936,0.07744934715405948,0.0016568846888482635
11,3 — Gate sweep,3,0.013339865440869387,4.0531310945611844e-05,0.019905104784852887,3.1756393284175116e-05,46.5205288796103,1.383171830918647,0.26401316685701626,0.49907076926606764,0.02504414352141533,0.024595951420334234,0.5133446296834984,0.02011410921641165,0.46455983892767616,0.013883820623492965,0.46705091368142354,0.035175045411010006,2142.0,0.0,50.47,0.0,-3.9466666666666668,1.38193101612683,75.19666666666667,6.133859578873107,54.468002212110456,2.5940509359976156,0.6575884422841901,0.19835782638195879,0.10304937010350633,0.031064820573338408,0.2690631808278867,0.017040682322437325,0.0023602028183328607,0.0002002186248010812,4.5865496038712556e-05,3.593574193377585e-05,1.5652062726761213,0.5647517402416581,0.02783293918006966,0.02276125728638541,0.01571102204573412,0.03980431099613572,0.0,0.0,1.5638021585581439,6.941115538906156,2.9354449721320552,0.2244630111366862,0.03515315373987493,0.01928334735102681,0.0002265687027743346
12,3 — Gate sweep,3,0.013677289557382259,0.0008234496931522798,0.020183514431912967,0.0006737382019485771,46.43354210160056,1.507558913075147,0.6949610392415134,0.3728881368577519,0.03652161134121753,0.00975628365616039,0.5146221005412297,0.022241316813881726,0.46257676488867433,0.015443780447866741,0.46610109230704655,0.027865483250731835,2142.0,0.0,50.47,0.0,-4.036666666666666,1.5050027685467335,63.52333333333333,9.108195942849132,53.59929723667516,0.5123234096845934,0.713366990634169,0.18585031233676197,0.11047156222841258,0.004168229432813828,0.2992530345471522,0.060690943043884206,0.0025792476274849228,0.002541224721663613,0.0009318210479309437,0.0007624065472263571,1.7059635067949854,0.4219626497371845,0.011040274270542112,0.025168419289267673,0.01747628276580743,0.031532762741581705,0.0,0.0,1.703070956961114,10.306893983694176,0.579748514647352,0.21030942659894689,0.004716795634755203,0.06867826731536723,0.0028756664831626846
13,3 — Gate sweep,3,0.01366433593978932,0.000732370106920707,0.02012977721990843,0.0005334376534661438,46.120389700765486,0.8893095281233192,0.408652478709245,0.1160137869478529,0.03781854040862144,0.018257726276160877,0.511533362231274,0.004182745689665052,0.4609422135239874,0.0069941268987188795,0.4620101606586924,0.017819070738767057,2142.0,0.0,50.47,0.0,-4.3500000000000005,0.8870738413458038,68.73666666666666,8.188603869606428,55.08314115178794,1.9282626728787846,0.8759181869966044,0.18169395029351865,0.1483960236366087,0.0408809217940616,0.28400248988484283,0.1007844855767619,0.0026059538746873536,0.0012363299324246104,0.0008287547936191262,0.0006036415307361386,1.006348467091599,0.1312819586031395,0.020660562233450693,0.004733222325764535,0.007914599653534625,0.020164176763962843,0.0,0.0,1.0038185493404674,9.266277590872788,2.1820346275795526,0.20560606017969538,0.04626111795694215,0.11404838176064762,0.0013990390218133798
14,4 — Output formulation,3,0.013264037476287113,5.85475551028497e-05,0.019827098794026644,2.8294272231392614e-05,46.32915796798886,0.9134854274756458,0.6326412547940978,0.17520103930703537,0.027748460214757856,0.015789112852268635,0.5717877152409898,0.0831554192601976,0.4601728846816748,0.00854842155939965,0.4038765751892577,0.05755619884156372,2142.0,0.0,50.47,0.0,-4.14,0.9101648202386199,67.72333333333334,5.6432289811182885,50.326583402204825,0.623501574471089,0.3469325376425005,0.07500974766997529,0.03691416136983473,0.02378967962727626,0.270619358854653,0.025644378531110523,0.0018111485599850614,0.0004689424454916628,6.625279553008846e-05,3.2017983151065396e-05,1.0337060726095744,0.1982586397241894,0.017867063168824446,0.09409921524112451,0.009673449637392946,0.06513097031362854,0.0,0.0,1.0299484517845212,6.38591475184079,0.705558451647636,0.08488152009784802,0.026920556756016095,0.029019346142349148,0.0005306583323925438
15,4 — Output formulation,3,0.01358929997913485,0.0006235681648136576,0.020144026098249092,0.0005565604886327168,45.11134307585247,0.558072892565952,0.2578336207407998,0.5312722859156672,0.022729605042243417,0.019393009619065864,0.5091169584948461,0.01688980905769019,0.4506547104682845,0.004581682636478696,0.4429994032091245,0.022386102913552506,2142.0,0.0,50.47,0.0,-5.359999999999999,0.559732078766261,63.23,11.987772937455892,52.5971541180701,2.053415989518082,0.5398655718114126,0.17772958150617238,0.021256194075284517,0.1052582843931936,0.351384998443822,0.09741624729282108,0.0015487142469889175,0.0006436226643178134,0.0007056338057139625,0.000629807481947521,0.6315189281107556,0.6011911866813408,0.02194525627497077,0.019112618179796873,0.0051846619788843236,0.02533226018476256,0.0,0.0,0.6333964740455484,13.565442107551569,2.3236589376408308,0.2011199545820744,0.11911096170454308,0.11023686133198868,0.0007283276082608501
16,4 — Output formulation,3,0.013769509731438331,5.528729533831157e-05,0.02031499973866838,7.254856139683528e-05,45.12874043145442,1.4296562111379085,0.14200950694088812,0.2138680757826932,0.006415888871377038,0.01837047698086298,0.5053047275928492,0.017223741517980586,0.450611304048711,0.012692568216840054,0.4609088089507502,0.008025764623863556,2142.0,0.0,50.47,0.0,-5.34,1.4306991297963383,63.09,9.967351704439855,50.966395027460464,2.2580483624901557,0.3623685786467577,0.13372091374789424,0.03243836986289362,0.05365437518999573,0.21926548397136633,0.04762896340741642,0.005275309512702127,0.0011403657726372193,6.256346429882743e-05,8.209642564549457e-05,1.6178083007642203,0.24201451060344223,0.02078815166688441,0.019490498331642903,0.014362993046332576,0.009082007637438792,0.0,0.0,1.6189884743258673,11.27912025174541,2.5552222666566946,0.15131945887531376,0.060715641199924626,0.053897245895209625,0.001290445352181199
17,4 — Output formulation,3,0.013641275061535438,0.0004892806042598458,0.020135373716698542,0.00019783195705935037,46.34655532359081,2.4894029264534074,0.5128164491044678,1.2155750063781827,0.04992769576271148,0.05457443300432103,0.514244904568549,0.029902417275051416,0.46272841493195366,0.02494816328600413,0.476077625853254,0.029590342817594966,2142.0,0.0,50.47,0.0,-4.12,2.490200795116731,204.57000000000002,17.24688087742244,56.41319995667312,1.2906880082779593,0.858076654071585,0.6879107327338423,0.12614281980477846,0.049392310017760024,0.2597261126672892,0.02897626886917622,0.003112210911543419,0.0012503010162578285,0.000553673125614222,0.0002238679339785518,2.8170246014302616,1.3755526120191448,0.06175678462839525,0.033837770579816046,0.028231504426363997,0.033484625086657456,0.0,0.0,2.817927474817855,19.516682981832062,1.4605509752774395,0.7784442755757405,0.055892660429916356,0.03278973499819053,0.0014148487914768593
18,5 — Learned gate,3,0.01336484824011378,0.00010761643344193277,0.01995575736758846,0.00017336337428310635,46.08559498956159,1.3719665373794256,0.36834612679994533,0.25813815086342284,0.0373817590786215,0.011507165672436951,0.5050283772987446,0.004135733794467866,0.46087210943212414,0.013803632249096181,0.48177010908513834,0.00835733057981546,2142.0,0.0,50.47,0.0,-4.386666666666667,1.3729287429919055,78.59,11.09770697036104,55.42545025747723,1.3583417709828562,0.7992989540197829,0.11935616321281448,0.10752198641736843,0.01478683425451699,0.27419856831621536,0.05098401170986139,0.0020617174935371927,0.0011881264094581825,0.00012177945856117757,0.00019617912598754767,1.5525262893633334,0.2921108165426545,0.013021583789238546,0.004680023358284003,0.015620280357828146,0.009457209837527767,0.0,0.0,1.5536151275153205,12.558237649182045,1.5371084147717915,0.13506421340230432,0.016732878165123217,0.05769384045470879,0.001344491600570691
18p,5 — Learned gate,3,0.01346187503157873,0.0001571664958014683,0.01996978487049396,0.00014082063921877147,48.15588030619346,1.7477200215552335,0.6080522061184248,0.08401338024393058,0.02150229942311231,0.02604937781365271,0.5176280819263334,0.01847817816374773,0.4784531622938785,0.016277895594682495,0.4160466449586269,0.048101274977158326,2142.0,0.0,50.47,0.0,-2.316666666666667,1.7435978129526701,82.55666666666667,4.37155959965472,54.096519311120524,2.525555780898282,0.6105447597805816,0.19323720413610987,0.0822041794992624,0.026678916653871683,0.24743230625583568,0.04465227712873332,0.002560010723148783,0.0005532990197390578,0.00017785063257079312,0.00015935355456240925,1.977731384829505,0.09507008949075287,0.02947764597415193,0.020910027028468288,0.018420172910723905,0.05443171675059608,0.0,0.0,1.973066666666667,4.946885378812725,2.8579354075118757,0.21866848157785007,0.0301900362351288,0.05052880827159975,0.0006261167824578542
